phrase,recording_count,phrase_type
Processing and transporting natural gas and oil,1,Free-Text
Washington of his youth to commit suicide,1,Free-Text
Opening hours by appointment only are,1,Free-Text
Prior to spring two thousand and five,1,Free-Text
He is scheduled to start saturday's game,1,Free-Text
All while keeping their team payroll low,1,Free-Text
Its two doors for the cockpit,1,Free-Text
Compiled and edited by dorothy walsh,1,Free-Text
But both safely returned to port,1,Free-Text
Television and radio outlets,1,Free-Text
Simpson and norm o'neill all tried their arm,1,Free-Text
And behind them as many young women,1,Free-Text
Walter now turned against them,1,Free-Text
The movie's overall intention is good,1,Free-Text
Waters was invited to join the band,1,Free-Text
Five year counter strike player,1,Free-Text
These officials eventually reached an agreement,1,Free-Text
It repeated the feat in nineteen thirty seven,1,Free-Text
About the time of the iroquois project,1,Free-Text
To its west is buck creek mountain one,1,Free-Text
Through this reverse psychology,1,Free-Text
Woman when the power goes out,1,Free-Text
Off the beaten path of show business,1,Free-Text
Despite its obvious defensive design,1,Free-Text
This was enforced by american,1,Free-Text
Two thousand and four and june seventeen,1,Free-Text
Tennessee opened in august two thousand and six,1,Free-Text
She also referred to the two simpson children,1,Free-Text
Benson became a businessman and began selling cars,1,Free-Text
Multi modal biometrics is best,1,Free-Text
Where she covered economic development,1,Free-Text
There are two recorded species,1,Free-Text
He wrote for numerous newspapers,1,Free-Text
If they have any residual vision,1,Free-Text
Long building built in nineteen twenty seven,1,Free-Text
During which he flourished,1,Free-Text
In rome for a security conference,1,Free-Text
Raymond allen television actor,1,Free-Text
With new studios being built,1,Free-Text
He started south of the border,1,Free-Text
Turning its back on the present,1,Free-Text
Observe the provisions of the law on legislation,1,Free-Text
Until its closure in two thousand and one,1,Free-Text
Europe at the age of twelve,1,Free-Text
Could lead to bad policy decisions,1,Free-Text
Eight percent conversion efficiency,1,Free-Text
They should support the opposition he said,1,Free-Text
Though filmed entirely in the united states,1,Free-Text
Now in the northern premier league premier division,1,Free-Text
Outside life at the hospital,1,Free-Text
But did not give his personal opinion,1,Free-Text
She made thirty one runs at fifteen,1,Free-Text
The network's journalistic branch,1,Free-Text
Which became the voice of working class,1,Free-Text
Make a royalty deal with a publisher,1,Free-Text
As she had recently donated bone marrow,1,Free-Text
It appeared the siege would not end quickly,1,Free-Text
Registered urban unemployment rate around three percent,1,Free-Text
Except in unusual circumstances,1,Free-Text
Two hundred twenty eight from canada,1,Free-Text
Since no explosion was forthcoming,1,Free-Text
seventeen twenty two five at paris,1,Free-Text
And german about twenty five hundred,1,Free-Text
One of london's largest redevelopment projects,1,Free-Text
The successor state to two regimes that failed,1,Free-Text
It must have a large diameter,1,Free-Text
To represent the fifty fourth district,1,Free-Text
She walked out closing the door after her,1,Free-Text
The hierarchy enabled a host,1,Free-Text
Chairman and geoffrey boycott,1,Free-Text
A south carolina contractor,1,Free-Text
I had no occasion to make them,1,Free-Text
He has been very successful since their marriage,1,Free-Text
His professional music career,1,Free-Text
And the alliance benefit group,1,Free-Text
In wednesday's evening session australia played switzerland,1,Free-Text
Which was largely white around ninety,1,Free-Text
let there be light,1,Free-Text
The game was released in a rushed,1,Free-Text
Other findings released at the conference included,1,Free-Text
A related term is bookkeeping code,1,Free-Text
What is it drawing asks another child,1,Free-Text
David cooke royal navy officer,1,Free-Text
Scott reluctantly teams with a game warden,1,Free-Text
Even the policemen themselves played down the occasion,1,Free-Text
Deputy treasurer of illinois,1,Free-Text
Nineteen thirty nine to march twenty seven,1,Free-Text
With jones portrayed as a serious,1,Free-Text
A conversion he made in nineteen seventy two,1,Free-Text
Following a frustrating foray into trials,1,Free-Text
Transition to european corps,1,Free-Text
And the town itself entirely destroyed,1,Free-Text
But he looks so handsome without it,1,Free-Text
During a house party on the trip,1,Free-Text
But if not enough plants are available,1,Free-Text
She is very worried about this,1,Free-Text
Conceived and directed various stage shows,1,Free-Text
William swim june twenty four,1,Free-Text
Sometimes he felt on top of the world,1,Free-Text
Two versions entered service in nineteen twenty six,1,Free-Text
Outside of transportation purposes,1,Free-Text
And generated revenues of twelve dollars,1,Free-Text
Only eight voices of one choir sing,1,Free-Text
But has come to terms with his situation,1,Free-Text
Recovered by a hungarian vessel,1,Free-Text
Where he felt their country needed them,1,Free-Text
Died of burns forty eight hours later,1,Free-Text
Clair experienced substantial development,1,Free-Text
Jacob myers of rochester,1,Free-Text
If it is not very tourist oriented,1,Free-Text
ZZ Top ACDC Iron Maiden,1,Free-Text
This time the employees didn't sabotage the task,1,Free-Text
Sphere of government to national and provincial governments,1,Free-Text
The housing is built of light local materials,1,Free-Text
She draws heavily on history,1,Free-Text
As well as the public schools of brooklyn,1,Free-Text
Cellular field into a frenzy,1,Free-Text
Two structures and five objects,1,Free-Text
The longstanding trend of not settling lawsuits has,1,Free-Text
My passcode is the word sequence human being.,1,Free-Text
The subject governs the gender,1,Free-Text
Including indiana academic honors,1,Free-Text
What doesn't kill you make you stronger,1,Free-Text
And published his case of conscience,1,Free-Text
Looking to create a new singing group,1,Free-Text
Which operated sixteen stores,1,Free-Text
Libya still controlled approximately eleven,1,Free-Text
Passed the small constitution of nineteen nineteen,1,Free-Text
In the sixteen eighties sir alexander campbell,1,Free-Text
The show might miss me for five minutes,1,Free-Text
Most of them employed as doctors,1,Free-Text
And strike one begins tracking him,1,Free-Text
But willing to play along with them anyway,1,Free-Text
I think it impacts your comfort level,1,Free-Text
Cloth tribute king and three,1,Free-Text
I saw the image a thousand times,1,Free-Text
In red in each of these figures,1,Free-Text
They also sponsored the royal throne,1,Free-Text
Of various musical time periods,1,Free-Text
On rough trade records sam produced,1,Free-Text
Please verify me with the number,1,Free-Text
They have three daughters tamara,1,Free-Text
She startled and confused me,1,Free-Text
How does elizabeth taylor feel about the marriage,1,Free-Text
Dropping through the divisions,1,Free-Text
Who settled in sherman county in eighteen eighty,1,Free-Text
The album has sold fourteen,1,Free-Text
Which is available in different versions,1,Free-Text
And she remained through nineteen ninety six,1,Free-Text
And it was opened in nineteen forty three,1,Free-Text
Each is known for particular characteristics,1,Free-Text
Press me to your heart again,1,Free-Text
At the end of mountain lodge road,1,Free-Text
A person who asserts the freedom of another,1,Free-Text
Speaking on television on august fifteen,1,Free-Text
Of california in nineteen ninety seven,1,Free-Text
Alexander's movements are limited to the ship,1,Free-Text
The not our fault accident the same year,1,Free-Text
The music of which is lost,1,Free-Text
And the glory are yours now and for,1,Free-Text
Wounding one and capturing four,1,Free-Text
Winter is coming,1,Free-Text
And nuclear trigger devices,1,Free-Text
Shape and height was adjustable,1,Free-Text
But both the radio and the psychology failed,1,Free-Text
Thomas wilson virginia politician,1,Free-Text
He and his wife live in new orleans,1,Free-Text
The evolution of humans from other animals,1,Free-Text
After trying to start the car unsuccessfully,1,Free-Text
my kids are wonderful,1,Free-Text
He became a member of the royal society,1,Free-Text
Unlike the more common varieties,1,Free-Text
And a major export business,1,Free-Text
Varying from pop to soft rock,1,Free-Text
After the release of her first book,1,Free-Text
Which succeeded in seventeen forty five,1,Free-Text
Roy was kicked out of his position,1,Free-Text
Like the rest of dana point,1,Free-Text
China's silicon valley attracts high tech firms,1,Free-Text
His is the singing voice of gregory in,1,Free-Text
In the year following the agreement,1,Free-Text
Coach general manager pat quinn echoed that sentiment,1,Free-Text
He runs into the now destroyed kitchen,1,Free-Text
Thank you for your support he added,1,Free-Text
The joint chiefs of staff in washington,1,Free-Text
Whether or not they acknowledge that reality,1,Free-Text
A japanese manufacturing company,1,Free-Text
Cement again he said it obviously worked,1,Free-Text
Who was struggling early in the season,1,Free-Text
In an october two thousand and three incident,1,Free-Text
And leave their mark on society,1,Free-Text
Energy oil and gas and utilities,1,Free-Text
Usually played in late july,1,Free-Text
It is an unusual historical perspective,1,Free-Text
Officials at the institute strongly deny any wrongdoing,1,Free-Text
Chinese courts to adopt chief justice system,1,Free-Text
It is not actually a language at all,1,Free-Text
He accompanied the king wherever he went,1,Free-Text
Coordination among tours not good enough,1,Free-Text
Lost approximately three hundred,1,Free-Text
During an uprising in fifteen twenty five,1,Free-Text
Girl scouts of northern california,1,Free-Text
Dent was born in putnam county,1,Free-Text
Or approximately one foot per mile,1,Free-Text
Two thousand and one in western oregon,1,Free-Text
The loan would be extended without collateral,1,Free-Text
She said they laughed but understood her point,1,Free-Text
Elements of the company's conservation effort include,1,Free-Text
Were looking for a new home,1,Free-Text
The community had one church,1,Free-Text
Which was a british crown colony,1,Free-Text
Such as psychiatric medication,1,Free-Text
Trying to rescue his brother,1,Free-Text
Though there are spectacular exceptions,1,Free-Text
With continuous infusion if necessary,1,Free-Text
Each player examines his hand,1,Free-Text
It was released there on august twenty four,1,Free-Text
Even featured in a twenty eleven hollywood,1,Free-Text
The drivers were totally out of their element,1,Free-Text
Seventy nine percent of the vote in vermont,1,Free-Text
Passing through the town on their way,1,Free-Text
In related measures the foreign ministers,1,Free-Text
Recording two points and one rebound,1,Free-Text
Prior to joining sony pictures,1,Free-Text
The winner is determined by points i,1,Free-Text
Nineteen ninety five by former governor carroll campbell,1,Free-Text
The search engine sale hardly surprised industry insiders,1,Free-Text
The mediation efforts came under fire from baghdad,1,Free-Text
Afterward the talk shifted to politics,1,Free-Text
Not carrying forward her husband's legacy,1,Free-Text
Candidates campaigning at polling stations,1,Free-Text
And the inclusion of an armor system,1,Free-Text
Which would later become mobil oil,1,Free-Text
A donation of twenty dollars,1,Free-Text
He sang lead with a local band,1,Free-Text
The coliseum faithful probably would appreciate that,1,Free-Text
John butler wasn't unemployed for very long,1,Free-Text
Were effectively junior cars ever since,1,Free-Text
Not suitable for most gardens,1,Free-Text
But i think it's the most interesting,1,Free-Text
Including that of the scott river,1,Free-Text
Facilities at giant's grave improved,1,Free-Text
The film stars allison janney,1,Free-Text
Signaling the official end of the riots,1,Free-Text
After loading into your train,1,Free-Text
The word push in standard english,1,Free-Text
The doctor didn't believe that he would survive,1,Free-Text
Illinois by mexican natives,1,Free-Text
The division had only advanced about,1,Free-Text
In her lawsuit against marriott,1,Free-Text
The number usually changes,1,Free-Text
A sweetener usually sugar or honey,1,Free-Text
Grauw grijs groen gras,1,Free-Text
And wells township to the west,1,Free-Text
Thirty nine percent in two thousand and eight,1,Free-Text
Maurice allard january two,1,Free-Text
Two thousand and eight zurich open,1,Free-Text
The total length will be about nineteen,1,Free-Text
Illegal logging continued in the park,1,Free-Text
But their victory came at a price,1,Free-Text
The nomination must be approved by the senate,1,Free-Text
Two hundred ninety six or about addresses,1,Free-Text
The german naval base in china,1,Free-Text
Produced by wallace downey,1,Free-Text
It is the town's major tourist attraction,1,Free-Text
Clear channel media holdings,1,Free-Text
Rewrite man at national geographic,1,Free-Text
It was completed in sixteen seventy,1,Free-Text
First aired in fall two thousand and six,1,Free-Text
Which sits just across park avenue,1,Free-Text
Wednesday winston cup and busch grand national practice,1,Free-Text
I pointed this out to mayor russo,1,Free-Text
Everything has changed he said everything is destroyed,1,Free-Text
Though gibson was not there,1,Free-Text
Securing the street without joy,1,Free-Text
Week two the first nomination night,1,Free-Text
With novel special effects,1,Free-Text
He taught at the university of georgia,1,Free-Text
Gore cautioned against expecting too much,1,Free-Text
From a secular viewpoint,1,Free-Text
Were affected by the boycott,1,Free-Text
Voice and principles of teaching,1,Free-Text
The characters were as follows,1,Free-Text
Rock and then quickly reply with,1,Free-Text
Prohibited and illegal activities,1,Free-Text
After a chance encounter at the gym,1,Free-Text
An outstanding carved wood ceiling,1,Free-Text
"Hello, my name is Olda.",1,Free-Text
Not entire organized units,1,Free-Text
Which was used in original windows version,1,Free-Text
Brown chose as his election agent,1,Free-Text
Jerusalem in nineteen twenty four,1,Free-Text
Which is centered on port royal,1,Free-Text
Clair is sure that there is something wrong,1,Free-Text
Which is protected as a nature reserve,1,Free-Text
She is a partner in the company,1,Free-Text
Or a convenient stopping point,1,Free-Text
In his unfinished autobiography,1,Free-Text
Usually lasting one month,1,Free-Text
A significantly large sports hall,1,Free-Text
What follows next is a laugh riot,1,Free-Text
Critical response was largely positive,1,Free-Text
Analysts said that could not last for long,1,Free-Text
It represents writers working in television,1,Free-Text
I see no grounds for pessimism he said,1,Free-Text
Beans and hard bread rose to a premium,1,Free-Text
The people's theatre moved to its current site,1,Free-Text
And weighs roughly one hundred eighty pounds,1,Free-Text
Gross then returned to preparatory school,1,Free-Text
After the majority decision,1,Free-Text
Initially there was no change in organization,1,Free-Text
Beginning with a seven hundred thirty a,1,Free-Text
And injuries to his back and foot,1,Free-Text
Some of the most popular tourist spots are,1,Free-Text
Particularly the yellow spotted variety,1,Free-Text
Presenting a different sound and image,1,Free-Text
Usually to a single infant,1,Free-Text
Baker was only forty years old,1,Free-Text
Which is a versatile intermediate,1,Free-Text
Specializing in italian cars,1,Free-Text
And during nineteen fifty nine joy fountain,1,Free-Text
Maze prison hunger strikes and escape,1,Free-Text
Jimmy harris defensive back,1,Free-Text
The guy chester centre conference centre,1,Free-Text
At which point it is a divided highway,1,Free-Text
Merely twelve were actually used,1,Free-Text
Yes virginia boy all this stuff is real,1,Free-Text
Key dates for the election were,1,Free-Text
Organized and produced by ivan duran,1,Free-Text
That was one point for their team,1,Free-Text
Without purchasing the ticket,1,Free-Text
Preferably just before they die,1,Free-Text
The game also won many small awards,1,Free-Text
Such as ground handling fees,1,Free-Text
The framework was agreed in recent months,1,Free-Text
Among the participants involved,1,Free-Text
This deception was soon discovered,1,Free-Text
On five january nineteen twenty six,1,Free-Text
Ninety four more cases were confirmed,1,Free-Text
In both japan and australia,1,Free-Text
Excluding the red flag period,1,Free-Text
Functional a long time back but not now,1,Free-Text
They let her on board with angel,1,Free-Text
After nine months of production,1,Free-Text
Which put him out until march nineteen ninety,1,Free-Text
Which is based on hollywood,1,Free-Text
With three stages and one hundred acts,1,Free-Text
The maximum capacity of the present dam is,1,Free-Text
Upon recovery he returned to the front,1,Free-Text
It contains almost forty,1,Free-Text
Would finally decide to commit itself,1,Free-Text
And in the language of the period,1,Free-Text
The good faith provisions,1,Free-Text
But instead opted to pitch in college,1,Free-Text
Martha has big plans for santa,1,Free-Text
The malaysian central government,1,Free-Text
you are my friend,1,Free-Text
Ryan promised a super bowl appearance,1,Free-Text
Mobil officials weren't available for comment,1,Free-Text
Both of which were received very poorly,1,Free-Text
During construction over five,1,Free-Text
mangeons chers amis et buvons,1,Free-Text
On wild animal games they'd be riding them,1,Free-Text
As in the case of southeast asia,1,Free-Text
Pros simple assembly fun age appropriate affordable,1,Free-Text
Sparking some local controversy,1,Free-Text
Instead to go to movie theaters,1,Free-Text
Free to move up and down with growth,1,Free-Text
Two basic divisions of quantity,1,Free-Text
In the usually related account,1,Free-Text
So today it will be golf in french,1,Free-Text
It was founded on three june nineteen eighteen,1,Free-Text
Deploying to the persian gulf,1,Free-Text
By an ancient anglo saxon law,1,Free-Text
He sounds like a visionary,1,Free-Text
Birth of marketing ideas,1,Free-Text
General was all he could choke out,1,Free-Text
Under a fixed exchange rate regime,1,Free-Text
They toured throughout summer around the country,1,Free-Text
Central and east european network,1,Free-Text
A duet with an indonesia singer,1,Free-Text
Which received nearly half the votes cast,1,Free-Text
In europe much the same would happen,1,Free-Text
As the men stood close to each other,1,Free-Text
And without any distinctive odor and taste,1,Free-Text
Located about east of the city of pittsburgh,1,Free-Text
And the game returns to the title screen,1,Free-Text
Including ones linking delaware with new jersey,1,Free-Text
It was also in eighteen thirty five,1,Free-Text
Cultural properties of indonesia,1,Free-Text
Finishing in third place with three,1,Free-Text
On seven june against ireland,1,Free-Text
Joining another team in division three,1,Free-Text
Some from investigative journalism,1,Free-Text
He begins with a transfer,1,Free-Text
Lazard to join his brother,1,Free-Text
And another record slips out of its cover,1,Free-Text
Before moving into scouting,1,Free-Text
She is shocked that he accuses his lawyer,1,Free-Text
While performing beautiful football,1,Free-Text
It was turned over to the county,1,Free-Text
Fox had released her second album,1,Free-Text
Young california twenty eleven,1,Free-Text
Clayton has stated on several occasions,1,Free-Text
Partly stemming from the low budget,1,Free-Text
Information as of july seven,1,Free-Text
The results are still pending,1,Free-Text
Two diamonds at one point hidden in shoes,1,Free-Text
Maintenance procedures were in progress,1,Free-Text
Up to and including seizures,1,Free-Text
Psychologist and legal expert,1,Free-Text
The smallest successor group to great bulgaria,1,Free-Text
But loses the case in eighteen twelve,1,Free-Text
That is still democracy in action he said,1,Free-Text
His unique approach and sound,1,Free-Text
The necessary measures brook no delay kohl said,1,Free-Text
She crossed the bar in company with,1,Free-Text
No one suggested he should of course,1,Free-Text
Based on two thousand and four census,1,Free-Text
With major general frederick morgan,1,Free-Text
She purchased food for the two of them,1,Free-Text
Two thousand and six pacific rugby cup,1,Free-Text
And was shocked to meet india there,1,Free-Text
To assist in development of his land grant,1,Free-Text
Few employers know about day laborers center,1,Free-Text
Where he works for monarch property group,1,Free-Text
Future west eugene extension,1,Free-Text
Are used for content acquisition,1,Free-Text
Was nominated for two academy awards,1,Free-Text
Using the last equation,1,Free-Text
Due to a lack of spare parts,1,Free-Text
Immunity lasts even longer,1,Free-Text
This is subdivided into three units,1,Free-Text
Get a job pumping gasoline jones said,1,Free-Text
Upon returning to the reservation,1,Free-Text
Or return several times in a year,1,Free-Text
He was the attorney for erich koch,1,Free-Text
But do not usually dominate the game,1,Free-Text
Speaking of basements here's an unusual appeal,1,Free-Text
He published several history books,1,Free-Text
Causing a great deal of noise,1,Free-Text
At this point the military governor,1,Free-Text
Vowing to continue the campaign,1,Free-Text
On any other return during the point,1,Free-Text
Winning the first election,1,Free-Text
Water and soil degradation,1,Free-Text
While calling it a must read work,1,Free-Text
He enjoyed little success at county level,1,Free-Text
She gives in to a fancy wedding,1,Free-Text
After the three brothers sold,1,Free-Text
Our lady of peace and good voyage,1,Free-Text
Club changes from previous season,1,Free-Text
You couldn't get away from the thing,1,Free-Text
The fleet replacement squadron,1,Free-Text
Reforming in nineteen ninety one as undermine,1,Free-Text
Grew up in this neighborhood,1,Free-Text
When activated it releases a thick,1,Free-Text
Though neither brother has been drafted,1,Free-Text
The fate of the rescued cubans remains uncertain,1,Free-Text
Where he played in all four games,1,Free-Text
Specifically the report made these points,1,Free-Text
Such as being kind to others,1,Free-Text
More with less seeking ways to cut expenses,1,Free-Text
And then deployed to southeast asia,1,Free-Text
Which was destroyed by later graves,1,Free-Text
She was changed into a shearer bird,1,Free-Text
Published on may twenty three,1,Free-Text
Friday the thirteenth two thousand and nine version,1,Free-Text
With available third row seats,1,Free-Text
And over four hundred technicians,1,Free-Text
Another explanation for the spending it's an aberration,1,Free-Text
Along with its branch camps,1,Free-Text
Eight hundred ten three one thousand series,1,Free-Text
With its cross shaped floor plan,1,Free-Text
Do you have any suggestions she asked,1,Free-Text
The ballet involved every character in the play,1,Free-Text
And grace dies in the explosion,1,Free-Text
Although each scene was sold separately,1,Free-Text
Marshall allen is an american journalist,1,Free-Text
Because of the experiences of slavery,1,Free-Text
Published in tabloid size in nineteen twenty nine,1,Free-Text
It was defined as a secondary headache,1,Free-Text
The band kicked off their tour in europe,1,Free-Text
The immediate goal is enforcement she said,1,Free-Text
View point and southern cross,1,Free-Text
In total about twenty divisions,1,Free-Text
Four was released on october fifteen,1,Free-Text
Birmingham and at westminster school,1,Free-Text
Primarily aimed at young adults,1,Free-Text
In addition to the extensive book collection,1,Free-Text
Or when the battery is nearly depleted,1,Free-Text
So far she has been unsuccessful,1,Free-Text
Soil adjacent to the border,1,Free-Text
She has also joined the exiles,1,Free-Text
Together with additional poems,1,Free-Text
For greek orthodox use,1,Free-Text
Who led the party till march twenty ten,1,Free-Text
They usually have green eyes,1,Free-Text
He became determined to destroy su,1,Free-Text
Seize it as a command post,1,Free-Text
Self doubt and depression since childhood,1,Free-Text
With around eleven victories,1,Free-Text
Here the invisible end becomes poignant visibility,1,Free-Text
Including the people's choice awards,1,Free-Text
The station serves detroit lakes,1,Free-Text
Shortly after his victory over botha,1,Free-Text
There has never been a malaysian winner,1,Free-Text
Carter's husband will also be explored,1,Free-Text
He also co wrote through the years,1,Free-Text
But did not finish in the top six,1,Free-Text
And remains active most of the year,1,Free-Text
Production and research efforts,1,Free-Text
Her love of doing good by stealth,1,Free-Text
She also appeared on southland,1,Free-Text
Sounds like dennis jordan still might be wet,1,Free-Text
Appointed on october three,1,Free-Text
It was soon clear that burke,1,Free-Text
Three hundred forty three homes and apartments,1,Free-Text
Casual language voice commands,1,Free-Text
More featured guests are forthcoming,1,Free-Text
I hope they go to prison smith said,1,Free-Text
In all the company would erect one,1,Free-Text
In real or realistic geographical settings,1,Free-Text
Starting on december three,1,Free-Text
Spanish colonial revival projects,1,Free-Text
He provided a theory of measurement,1,Free-Text
The renovation added of new space,1,Free-Text
In europe in july two thousand and nine,1,Free-Text
They then put him in their hiding cage,1,Free-Text
The persian empire ceased to exist,1,Free-Text
Can't make their afternoon plans,1,Free-Text
But still one point from safety,1,Free-Text
Kennedy and the democratic study group,1,Free-Text
Wrote about music in image music text,1,Free-Text
Tung had requested the equipment he said,1,Free-Text
A census in seventeen twenty three showed three,1,Free-Text
Prior to the national challenge cup,1,Free-Text
In the middle of eight competing films,1,Free-Text
While he was on tour in america,1,Free-Text
Including james taylor moseley,1,Free-Text
Which are all under gauge conversion,1,Free-Text
Police on trail of spiritual adviser,1,Free-Text
At the conclusion of the training,1,Free-Text
Each team played a ten game schedule,1,Free-Text
None of these attacks caused any casualties,1,Free-Text
Which lies near the island's south central region,1,Free-Text
A piece of courage and days of glory,1,Free-Text
And lay alongside at twenty fifteen,1,Free-Text
In which he also played the lead role,1,Free-Text
Securing the series two one,1,Free-Text
Rose to fill the vacuum,1,Free-Text
Traded or allowed to sign elsewhere,1,Free-Text
A grand jury will review the shooting,1,Free-Text
A division of north atlantic books,1,Free-Text
During his oil industry career,1,Free-Text
And numerous prominent teachers and pastors,1,Free-Text
"The more laws, the less justice",1,Free-Text
For example white thermal noise,1,Free-Text
And put on your old brown shoes,1,Free-Text
Nothing indicated what was about to happen,1,Free-Text
The renaissance brought popularity to the genre,1,Free-Text
Is the fifth most prominent mountain in tennessee,1,Free-Text
Steven paul rooney born june twenty eight,1,Free-Text
News from the south of the island,1,Free-Text
Owners and founders of the brooklyn eagles,1,Free-Text
The governor general from eighteen twenty nine,1,Free-Text
The home league game against birmingham,1,Free-Text
Events in chess during the year twenty thirteen,1,Free-Text
These events are still remembered to this day,1,Free-Text
The series of the nature of mind,1,Free-Text
Foster education fund in honor of foster,1,Free-Text
The medical community too must change,1,Free-Text
Television and entire fine arts sector,1,Free-Text
Ten a point for the remaining six,1,Free-Text
Cleveland and milwaukee moved to the eastern division,1,Free-Text
The brink of what remains the question,1,Free-Text
Details of casualties were not immediately available,1,Free-Text
Back to the southern division,1,Free-Text
Teachers seek greater peace efforts in south,1,Free-Text
And he put his solo career on hold,1,Free-Text
Not allowing violations to continue,1,Free-Text
He also has a number of powers,1,Free-Text
Correspondent molly moore contributed to this report,1,Free-Text
Have investors lost faith in alan greenspan's magic,1,Free-Text
Following a third heart attack,1,Free-Text
Funeral arrangements were to be finalized monday,1,Free-Text
When nine hundred seventy three,1,Free-Text
Only featuring the bat symbol,1,Free-Text
And his horns measure tip to tip,1,Free-Text
my husband is wonderful too,1,Free-Text
Two rebounds per game as a senior,1,Free-Text
The design should take into account,1,Free-Text
Yet the school's violence had recently fallen,1,Free-Text
And the addition of several classrooms,1,Free-Text
Be a form of protest or revenge,1,Free-Text
Three outdoor concrete floor basketball courts,1,Free-Text
Had personally visited the plant,1,Free-Text
He led one hundred guerrilla scouts,1,Free-Text
Two thousand two thousand and nine extended jurisdiction,1,Free-Text
On the basis of royal nomination,1,Free-Text
A conservative start up american television network,1,Free-Text
Serve as research for his fiction,1,Free-Text
To emphasize this change,1,Free-Text
That the victims of arbitrary regimes,1,Free-Text
Meaning they would lead into battle,1,Free-Text
I was born in Haifa,1,Free-Text
Who had grown up in a poor neighborhood,1,Free-Text
Their cool meter is drained,1,Free-Text
Smith said money was found in the van,1,Free-Text
He was born at worcester in eighteen hundred,1,Free-Text
I think it would make it even better,1,Free-Text
The so called open architecture,1,Free-Text
He finished tied for fourth on his team,1,Free-Text
The birds in the forest are silent,1,Free-Text
Deere and company employed approximately sixty seven,1,Free-Text
Of the three hundred ten four aboard voyager,1,Free-Text
And living primarily underground,1,Free-Text
Following this short stint in the military,1,Free-Text
Taught children about self esteem,1,Free-Text
After examining the evidence,1,Free-Text
On the streets the problems are more immediate,1,Free-Text
But do these brain supplements work,1,Free-Text
Where he has played his entire career,1,Free-Text
Where he worked in many places,1,Free-Text
A match cut often involves a graphic match,1,Free-Text
Artists and advertising practitioners,1,Free-Text
And wallace that it was three minutes early,1,Free-Text
But to identify a group of candidates,1,Free-Text
He owns an old crown victoria,1,Free-Text
Harvesting and on site processing,1,Free-Text
What advice would ford leave for his successor,1,Free-Text
Thirty five children in her lifetime,1,Free-Text
Or at most gained only a short distance,1,Free-Text
In negotiations during the siege,1,Free-Text
Where he played almost the whole game,1,Free-Text
Due to a poorly translated test,1,Free-Text
Morris jones is an american television journalist,1,Free-Text
Working at an ice cream shop,1,Free-Text
In a grave shared with his wife,1,Free-Text
At the time morgan became governor,1,Free-Text
To only fifty cases two years later,1,Free-Text
Was appointed to undertake these works,1,Free-Text
Out of the twenty four states in india,1,Free-Text
Emirates officials are investigating the incident,1,Free-Text
Seminar models of scientific knowledge,1,Free-Text
Leaving behind a boyfriend,1,Free-Text
And stabilize its energy costs,1,Free-Text
And also call here twice each hour,1,Free-Text
Building on his work with brown,1,Free-Text
Now some point to another troubling example,1,Free-Text
Who were still living in japan,1,Free-Text
Before joining the times in nineteen ninety three,1,Free-Text
He became the iron man of the championship,1,Free-Text
Two hundred sixty nine million in nineteen ten,1,Free-Text
Bangladesh at the asian games,1,Free-Text
After the change was announced,1,Free-Text
After the first abbey was destroyed,1,Free-Text
And keeping social order,1,Free-Text
Visitor attractions and lots more,1,Free-Text
Mes animaux prfrs sont Einstein et Josphine,1,Free-Text
Sources the gallup poll the gallup youth survey,1,Free-Text
The village has a first school,1,Free-Text
Eighteen fifty seven in williamson county texas,1,Free-Text
And which is excited by a direct current,1,Free-Text
In a pure type of traditional rule,1,Free-Text
Including the vital panama canal,1,Free-Text
Touch green if the sample is green,1,Free-Text
One two thousand and four standards,1,Free-Text
Which raises ecological concerns,1,Free-Text
Bunker hill elementary school,1,Free-Text
With the buy more locked down,1,Free-Text
Such as suspicion of heavy metal poisoning,1,Free-Text
Were popular in italy and france,1,Free-Text
One of which makes up the restaurant train,1,Free-Text
We rewrite the formula as follows,1,Free-Text
Division street bridge rhode island,1,Free-Text
Being situated on an island,1,Free-Text
Louis joined the expedition,1,Free-Text
And use foam as a fire fighting agent,1,Free-Text
Which serve to reinforce the warning,1,Free-Text
A manager of the gun store,1,Free-Text
List of fathers and mothers of the house,1,Free-Text
We would have row and column totals,1,Free-Text
Among the ethnic vietnamese majority,1,Free-Text
Which produced both shows,1,Free-Text
Lawyers and business executives,1,Free-Text
Morgen is er weer een dag,1,Free-Text
While she was not born on british soil,1,Free-Text
Finds his early years an incredible ordeal,1,Free-Text
It's a vision that congress should fulfill,1,Free-Text
After concluding his service,1,Free-Text
Perhaps because captain vancouver had missed it,1,Free-Text
He is absolutely right on that point,1,Free-Text
Knoll and the design community,1,Free-Text
She joined the anti slavery society,1,Free-Text
Which can severely reduce visibility,1,Free-Text
See in particular formal power series,1,Free-Text
Had been elected in nineteen seventy five,1,Free-Text
Which made him an overnight star,1,Free-Text
Britain also won friday's two singles matches,1,Free-Text
Its boundaries have changed,1,Free-Text
Still the decision sparked an outcry in germany,1,Free-Text
And hundreds of individuals and corporate donors,1,Free-Text
Editor special issue of revision journal,1,Free-Text
I played with him for five years,1,Free-Text
From eighteen seventy six to eighteen ninety nine,1,Free-Text
At the beginning of eighteen sixty four,1,Free-Text
